,ds,yhat
1163,2022-03-13,17548.479450573577
1164,2022-03-14,17575.308052973956
1165,2022-03-15,17604.59427888735
1166,2022-03-16,17617.960120353942
1167,2022-03-17,17638.91539812171
1168,2022-03-18,17651.823905856654
1169,2022-03-19,17668.34518457286
1170,2022-03-20,17669.63916097057
1171,2022-03-21,17694.3236501241
1172,2022-03-22,17719.5140736338
1173,2022-03-23,17727.003170599466
1174,2022-03-24,17740.51145263284
1175,2022-03-25,17744.647392977433
1176,2022-03-26,17751.342434304934
1177,2022-03-27,17742.04824002347
1178,2022-03-28,17755.686396395307
1179,2022-03-29,17769.680133172744
1180,2022-03-30,17766.12606021542
1181,2022-03-31,17769.03688863006
1182,2022-04-01,17763.294334860595
1183,2022-04-02,17761.07748581506
1184,2022-04-03,17744.054223113788
1185,2022-04-04,17751.326061954267
1186,2022-04-05,17760.45609140316
1187,2022-04-06,17753.638100435895
1188,2022-04-07,17754.93791067624
1189,2022-04-08,17749.246131060958
1190,2022-04-09,17748.707593576168
1191,2022-04-10,17734.91501440511
1192,2022-04-11,17746.857149371823
